"salesperson","year","month","dept","location","units_sold","order_amount","cost"
"Jen",2004,"December","lip gloss","west",81,419,360
"Colleen",2006,"November","lip gloss","south",204,584,467
"Betsy",2005,"October","eye liner","west",80,424,284
"Zaret",2004,"January","foundation","west",210,476,376
"Cristina",2004,"August","foundation","south",91,446,354
"Hallagan",2005,"December","foundation","west",263,504,415
"Jen",2006,"March","lipstick","west",25,367,300
"Cristina",2004,"September","lipstick","midwest",397,669,573
"Jen",2005,"March","foundation","south",94,391,286
"Emilee",2004,"March","lip gloss","midwest",229,475,376
"Cici",2005,"August","lip gloss","east",58,460,446
"Ashley",2006,"July","foundation","south",73,531,427
"Ashley",2005,"March","mascara","midwest",400,573,506
"Cici",2004,"November","mascara","west",286,718,623
"Cici",2004,"November","mascara","south",231,649,557
"Emilee",2006,"December","mascara","west",473,550,498
"Betsy",2005,"November","lipstick","east",116,376,252
"Emilee",2006,"January","foundation","south",80,510,370
"Zaret",2006,"June","eye liner","east",49,425,314
"Zaret",2006,"June","foundation","midwest",42,606,500
"Cici",2005,"May","foundation","midwest",134,445,365
"Colleen",2006,"May","eye liner","east",181,470,411
"Hallagan",2005,"October","mascara","south",207,630,538
"Zaret",2006,"March","foundation","south",206,477,399
"Jen",2006,"July","mascara","west",306,534,431
"Zaret",2006,"April","eye liner","south",83,481,355
"Ashley",2006,"January","eye liner","west",50,453,332
"Hallagan",2005,"November","lip gloss","midwest",113,629,565
"Zaret",2004,"April","eye liner","west",237,503,429
"Emilee",2005,"July","lipstick","midwest",339,519,474
"Cici",2005,"May","lip gloss","south",45,484,422
"Zaret",2006,"February","mascara","west",167,451,362
"Ashley",2006,"November","foundation","west",269,412,322
"Jen",2004,"November","mascara","east",86,371,280
"Cici",2004,"March","lipstick","midwest",136,514,374
"Betsy",2004,"July","mascara","east",174,501,338
"Cristina",2006,"December","lip gloss","south",156,317,279
"Cristina",2005,"February","eye liner","west",253,522,430
"Colleen",2005,"March","lip gloss","west",105,442,326
"Emilee",2004,"October","foundation","west",107,464,350
"Colleen",2005,"November","mascara","west",207,491,398
"Betsy",2005,"May","lipstick","south",137,586,446
"Jen",2004,"November","eye liner","east",74,420,286
"Jen",2006,"November","eye liner","south",179,478,376
"Betsy",2006,"February","lip gloss","west",141,484,368
"Colleen",2005,"February","foundation","south",218,617,510
"Ashley",2006,"October","mascara","south",69,396,277
"Cici",2004,"November","mascara","west",320,481,385
"Emilee",2005,"July","eye liner","west",257,551,423
"Emilee",2005,"December","lipstick","west",115,434,383
"Ashley",2006,"November","lipstick","midwest",152,462,366
"Cici",2005,"March","lipstick","east",103,360,216
"Cristina",2006,"March","foundation","south",204,693,597
"Emilee",2005,"July","lip gloss","west",85,338,272
"Zaret",2004,"September","lipstick","midwest",88,514,386
"Cici",2004,"October","lipstick","west",484,620,484
"Jen",2004,"August","lipstick","south",122,498,371
"Betsy",2005,"February","mascara","south",53,505,420
"Emilee",2005,"November","foundation","west",139,491,375
"Emilee",2005,"November","lip gloss","south",97,437,328
"Jen",2004,"May","foundation","midwest",17,407,351
"Emilee",2005,"January","lip gloss","south",139,354,223
"Cici",2005,"January","lip gloss","south",128,478,347
"Cristina",2004,"February","lip gloss","midwest",146,355,256
"Hallagan",2005,"February","mascara","south",149,483,375
"Cici",2005,"August","foundation","south",139,402,256
"Hallagan",2006,"October","eye liner","east",98,391,246
"Hallagan",2005,"December","foundation","east",229,533,425
"Emilee",2005,"March","eye liner","midwest",189,375,258
"Betsy",2004,"March","lip gloss","west",273,575,436
"Cristina",2006,"May","lip gloss","south",111,422,362
"Ashley",2004,"February","lip gloss","east",201,499,442
"Jen",2006,"June","lip gloss","south",115,412,316
"Betsy",2005,"December","foundation","west",287,347,211
"Colleen",2004,"February","foundation","south",151,455,371
"Emilee",2006,"July","foundation","south",79,413,333
"Jen",2004,"December","lipstick","west",68,287,191
"Emilee",2004,"November","eye liner","south",279,503,437
"Betsy",2005,"November","eye liner","south",146,488,402
"Cici",2004,"July","mascara","west",183,388,278
"Ashley",2005,"December","mascara","east",256,536,438
"Hallagan",2005,"September","foundation","south",240,503,426
"Colleen",2004,"May","lipstick","east",257,644,539
"Hallagan",2005,"October","lipstick","midwest",52,499,442
"Ashley",2004,"November","lip gloss","midwest",311,446,400
"Hallagan",2004,"November","foundation","west",49,482,318
"Jen",2004,"August","eye liner","midwest",268,566,477
"Emilee",2005,"July","mascara","south",172,481,422
"Betsy",2006,"November","mascara","east",373,454,438
"Colleen",2006,"March","foundation","south",56,376,306
"Jen",2004,"November","mascara","west",131,393,332
"Colleen",2005,"November","foundation","west",192,475,367
"Cici",2006,"October","lip gloss","south",433,619,531
"Jen",2004,"February","mascara","midwest",117,420,334
"Cristina",2005,"October","foundation","west",79,448,353
"Cristina",2006,"January","lipstick","midwest",179,307,224
"Emilee",2006,"January","eye liner","west",27,453,372
"Hallagan",2004,"December","lipstick","midwest",109,477,373
"Jen",2005,"March","eye liner","east",205,642,532
"Colleen",2004,"February","mascara","east",33,414,253
"Colleen",2006,"May","mascara","west",134,505,425
"Cristina",2006,"November","mascara","west",325,555,439
"Cristina",2006,"March","eye liner","south",37,483,372
"Cici",2005,"June","eye liner","east",146,539,425
"Hallagan",2005,"December","foundation","south",82,286,200
"Cici",2006,"December","lip gloss","west",157,608,510
"Cici",2006,"November","lip gloss","west",127,309,209
"Jen",2006,"April","foundation","west",91,404,277
"Hallagan",2006,"December","lipstick","midwest",176,405,362
"Colleen",2004,"February","mascara","east",284,509,450
"Jen",2006,"July","eye liner","west",338,511,454
"Jen",2004,"April","eye liner","midwest",369,573,433
"Betsy",2006,"March","lip gloss","midwest",306,476,411
"Jen",2006,"April","lip gloss","south",65,391,361
"Colleen",2006,"May","foundation","east",169,503,376
"Jen",2005,"November","lip gloss","west",62,455,340
"Zaret",2006,"February","eye liner","west",462,727,596
"Betsy",2005,"January","lipstick","east",131,415,289
"Hallagan",2006,"February","mascara","east",297,491,401
"Cici",2004,"September","foundation","midwest",393,456,334
"Cici",2005,"March","mascara","midwest",146,416,297
"Colleen",2005,"February","foundation","east",331,584,472
"Ashley",2004,"January","mascara","west",197,507,399
"Cristina",2006,"September","foundation","midwest",143,467,359
"Ashley",2004,"July","mascara","west",40,538,415
"Betsy",2004,"December","foundation","west",175,481,399
"Cristina",2004,"October","eye liner","west",35,457,358
"Zaret",2004,"February","lipstick","west",269,658,589
"Jen",2004,"June","lip gloss","south",171,399,314
"Hallagan",2006,"January","eye liner","south",71,341,312
"Betsy",2006,"February","foundation","south",113,455,363
"Cici",2004,"April","lip gloss","west",206,498,422
"Hallagan",2006,"November","lip gloss","west",140,325,161
"Zaret",2004,"March","lip gloss","west",50,400,284
"Ashley",2004,"June","lip gloss","midwest",100,491,426
"Emilee",2004,"August","mascara","midwest",196,554,458
"Emilee",2004,"November","mascara","east",191,500,392
"Jen",2004,"December","foundation","midwest",290,522,416
"Cici",2006,"November","lip gloss","south",235,435,336
"Cristina",2004,"September","eye liner","east",217,409,322
"Ashley",2005,"January","lip gloss","west",194,312,217
"Cici",2006,"October","lip gloss","east",103,518,430
"Emilee",2005,"November","lip gloss","south",148,473,353
"Emilee",2005,"November","mascara","midwest",142,545,476
"Emilee",2005,"April","eye liner","midwest",51,528,416
"Colleen",2004,"July","lipstick","south",271,533,406
"Cristina",2005,"February","eye liner","east",530,545,457
"Cici",2004,"July","mascara","east",193,357,216
"Hallagan",2006,"December","mascara","west",162,526,377
"Betsy",2006,"November","mascara","east",306,660,578
"Zaret",2005,"August","mascara","west",146,524,382
"Betsy",2005,"March","mascara","east",319,563,501
"Colleen",2006,"November","mascara","east",190,465,310
"Colleen",2004,"May","mascara","west",104,435,344
"Ashley",2005,"April","eye liner","east",154,435,339
"Ashley",2004,"November","foundation","east",37,368,239
"Emilee",2005,"March","eye liner","east",123,431,358
"Ashley",2004,"April","foundation","west",165,496,379
"Hallagan",2004,"February","eye liner","south",215,653,573
"Hallagan",2005,"July","mascara","east",223,387,295
"Emilee",2005,"November","eye liner","west",208,495,374
"Colleen",2005,"February","lipstick","south",207,513,389
"Zaret",2004,"January","eye liner","midwest",373,634,505
"Cici",2006,"July","mascara","south",120,507,441
"Jen",2006,"August","foundation","midwest",251,403,317
"Zaret",2006,"November","lip gloss","midwest",387,474,382
"Colleen",2005,"May","foundation","west",91,500,401
"Hallagan",2005,"July","eye liner","south",782,578,431
"Colleen",2005,"June","lip gloss","south",61,348,283
"Cristina",2005,"July","foundation","south",206,355,321
"Cristina",2004,"November","eye liner","east",47,349,243
"Cristina",2005,"June","foundation","east",253,547,408
"Zaret",2004,"June","foundation","south",173,393,263
"Hallagan",2005,"May","eye liner","east",221,362,267
"Cici",2006,"May","lip gloss","midwest",222,480,382
"Ashley",2006,"June","lipstick","south",50,470,365
"Cici",2005,"November","foundation","midwest",197,433,348
"Hallagan",2005,"December","eye liner","west",270,395,290
"Cici",2005,"August","mascara","midwest",179,557,435
"Hallagan",2005,"November","eye liner","west",86,577,470
"Betsy",2005,"March","eye liner","west",377,370,269
"Cici",2004,"May","foundation","east",256,562,449
"Jen",2006,"October","lip gloss","east",111,438,341
"Cristina",2005,"July","eye liner","east",226,762,644
"Hallagan",2004,"December","eye liner","east",175,472,390
"Emilee",2004,"November","lipstick","west",406,650,541
"Emilee",2004,"November","lip gloss","west",416,386,274
"Jen",2006,"August","mascara","midwest",125,413,301
"Jen",2005,"March","foundation","south",230,451,384
"Ashley",2006,"December","mascara","south",329,461,388
"Ashley",2005,"September","lipstick","east",155,450,345
"Jen",2005,"November","lipstick","west",302,506,416
"Emilee",2005,"December","foundation","west",160,412,276
"Zaret",2006,"November","mascara","midwest",114,382,271
"Ashley",2004,"August","mascara","south",28,394,315
"Betsy",2006,"August","mascara","midwest",361,531,386
"Betsy",2004,"February","eye liner","midwest",121,475,374
"Betsy",2006,"December","mascara","west",276,321,218
"Jen",2005,"November","foundation","midwest",201,506,397
"Betsy",2006,"March","foundation","east",129,365,271
"Zaret",2004,"May","lipstick","south",200,399,284
"Hallagan",2005,"November","lip gloss","south",21,446,321
"Zaret",2004,"June","eye liner","south",123,379,278
"Zaret",2005,"April","lip gloss","east",427,450,338
"Jen",2006,"November","foundation","south",330,498,404
"Colleen",2004,"May","foundation","midwest",98,483,425
"Cici",2006,"May","mascara","midwest",53,464,305
"Hallagan",2005,"February","lipstick","west",70,450,327
"Zaret",2005,"February","foundation","east",153,487,382
"Zaret",2005,"August","foundation","midwest",151,493,395
"Cici",2004,"May","lip gloss","east",214,657,532
"Cici",2004,"November","eye liner","midwest",140,456,371
"Zaret",2005,"November","lip gloss","west",306,434,349
"Betsy",2004,"February","lip gloss","east",292,534,442
"Zaret",2004,"July","eye liner","south",22,518,413
"Colleen",2005,"December","eye liner","midwest",186,447,358
"Cici",2004,"June","foundation","midwest",158,458,333
"Betsy",2005,"January","foundation","south",141,368,309
"Cristina",2005,"November","mascara","east",203,501,377
"Cristina",2004,"January","eye liner","east",333,517,419
"Jen",2004,"October","eye liner","east",154,329,261
"Ashley",2004,"November","foundation","south",123,415,328
"Jen",2004,"December","eye liner","west",232,497,407
"Hallagan",2004,"October","lip gloss","west",105,543,433
"Jen",2005,"June","mascara","east",390,613,479
"Colleen",2006,"March","lipstick","south",507,613,471
"Emilee",2006,"November","foundation","east",78,516,406
"Hallagan",2004,"November","eye liner","midwest",108,532,459
"Hallagan",2004,"November","lipstick","west",150,440,315
"Emilee",2006,"October","lip gloss","south",151,539,421
"Hallagan",2004,"July","foundation","south",283,507,372
"Emilee",2005,"October","eye liner","west",272,522,450
"Cici",2004,"December","eye liner","west",306,441,318
"Cici",2004,"August","eye liner","west",174,409,297
"Cristina",2006,"November","foundation","east",163,431,300
"Jen",2004,"June","lip gloss","west",59,607,565
"Zaret",2004,"June","foundation","south",293,528,430
"Jen",2005,"June","foundation","west",98,395,320
"Cristina",2004,"November","foundation","west",128,380,282
"Cristina",2006,"May","foundation","west",58,453,355
"Zaret",2006,"November","foundation","midwest",51,546,449
"Colleen",2004,"August","mascara","west",291,513,417
"Hallagan",2006,"November","mascara","west",105,482,415
"Hallagan",2005,"March","eye liner","midwest",242,368,262
"Cristina",2006,"December","lip gloss","east",136,481,401
"Colleen",2005,"February","lipstick","east",373,493,413
"Ashley",2004,"December","mascara","west",144,392,267
"Cici",2005,"November","mascara","south",174,335,238
"Colleen",2004,"December","lip gloss","west",98,498,411
"Emilee",2005,"May","lipstick","south",99,502,388
"Hallagan",2006,"April","mascara","west",120,571,471
"Jen",2005,"August","foundation","midwest",192,435,295
"Zaret",2006,"February","lipstick","west",329,612,461
"Colleen",2005,"June","lipstick","west",222,657,515
"Colleen",2005,"November","eye liner","east",420,474,350
"Emilee",2005,"November","eye liner","south",168,386,287
"Ashley",2005,"November","lip gloss","south",136,405,240
"Jen",2006,"November","lip gloss","south",45,423,273
"Ashley",2006,"November","eye liner","east",283,543,446
"Ashley",2005,"June","lip gloss","east",140,464,365
"Zaret",2005,"September","eye liner","south",205,573,425
"Betsy",2006,"December","lipstick","west",113,485,348
"Cristina",2004,"May","mascara","south",415,524,447
"Cristina",2004,"November","foundation","east",333,626,549
"Jen",2005,"November","lip gloss","midwest",180,387,308
"Ashley",2006,"November","mascara","south",363,535,445
"Cici",2006,"July","lip gloss","south",123,545,432
"Jen",2006,"November","lip gloss","west",260,560,457
"Emilee",2005,"October","lip gloss","east",48,503,370
"Hallagan",2005,"August","foundation","west",208,486,393
"Colleen",2006,"July","foundation","midwest",80,440,296
"Hallagan",2004,"February","foundation","east",216,604,537
"Cristina",2005,"September","lip gloss","west",119,534,411
"Ashley",2005,"August","eye liner","south",116,343,276
"Ashley",2005,"October","mascara","west",245,598,498
"Cici",2006,"November","eye liner","midwest",213,667,486
"Hallagan",2006,"November","mascara","west",273,474,388
"Zaret",2006,"February","lip gloss","south",207,587,496
"Cici",2004,"March","lip gloss","west",108,441,379
"Hallagan",2004,"February","lip gloss","west",233,587,403
"Emilee",2006,"November","eye liner","east",19,386,264
"Zaret",2004,"July","foundation","west",324,506,377
"Cristina",2006,"October","lip gloss","west",146,594,438
"Cici",2004,"January","mascara","west",313,640,461
"Zaret",2006,"March","lipstick","south",47,481,397
"Jen",2005,"June","eye liner","east",225,515,427
"Emilee",2006,"March","foundation","south",48,458,377
"Cici",2004,"May","foundation","west",108,370,260
"Jen",2006,"November","foundation","midwest",144,377,320
"Ashley",2006,"March","foundation","midwest",379,515,429
"Ashley",2004,"March","lip gloss","midwest",104,523,414
"Colleen",2005,"April","lip gloss","midwest",148,421,305
"Jen",2004,"May","mascara","midwest",318,477,401
"Hallagan",2006,"November","lip gloss","south",135,377,301
"Jen",2005,"February","foundation","south",146,355,280
"Betsy",2004,"April","lip gloss","east",147,445,346
"Ashley",2004,"December","lip gloss","south",282,392,376
"Betsy",2004,"May","lipstick","midwest",355,620,488
"Jen",2004,"December","eye liner","midwest",178,484,357
"Cristina",2004,"May","lip gloss","south",99,529,366
"Ashley",2005,"December","mascara","west",153,504,397
"Ashley",2004,"January","eye liner","midwest",71,441,338
"Colleen",2005,"February","foundation","east",208,617,516
"Cristina",2005,"November","eye liner","west",160,403,313
"Emilee",2005,"April","lip gloss","south",246,510,425
"Colleen",2004,"December","lipstick","midwest",166,164,82
"Cristina",2005,"May","lip gloss","west",53,428,367
"Zaret",2004,"May","foundation","midwest",127,433,338
"Colleen",2004,"December","mascara","west",158,483,340
"Emilee",2004,"November","lip gloss","west",147,366,309
"Jen",2006,"May","lip gloss","midwest",160,376,282
"Betsy",2004,"October","mascara","east",258,584,467
"Zaret",2005,"July","foundation","south",236,555,441
"Betsy",2006,"September","lipstick","midwest",279,485,397
"Jen",2005,"December","mascara","west",206,658,525
"Hallagan",2005,"February","foundation","west",251,418,332
"Cici",2004,"April","foundation","midwest",203,828,653
"Jen",2004,"June","eye liner","south",218,492,430
"Zaret",2005,"July","eye liner","east",164,461,387
"Cristina",2005,"October","foundation","east",149,320,230
"Betsy",2006,"February","foundation","west",237,580,482
"Cristina",2004,"March","mascara","midwest",641,600,461
"Hallagan",2004,"November","foundation","east",186,639,462
"Ashley",2005,"January","foundation","midwest",66,378,307
"Zaret",2006,"November","eye liner","west",329,513,416
"Jen",2006,"February","foundation","east",186,626,529
"Betsy",2005,"August","lipstick","west",315,676,574
"Colleen",2005,"January","foundation","east",533,574,468
"Jen",2005,"August","eye liner","south",120,372,292
"Zaret",2006,"December","mascara","west",123,388,288
"Colleen",2004,"October","eye liner","west",268,382,310
"Jen",2006,"June","lipstick","midwest",165,369,252
"Emilee",2004,"September","foundation","south",56,499,416
"Ashley",2006,"May","foundation","east",177,461,361
"Hallagan",2004,"July","eye liner","west",314,565,544
"Betsy",2004,"June","eye liner","south",91,354,250
"Hallagan",2006,"August","lip gloss","south",135,412,341
"Jen",2006,"February","foundation","west",129,331,232
"Betsy",2004,"February","eye liner","east",188,328,234
"Zaret",2006,"November","eye liner","south",64,440,317
"Cristina",2006,"October","foundation","west",120,520,399
"Cici",2006,"October","eye liner","west",276,511,340
"Colleen",2006,"November","lipstick","midwest",336,446,373
"Cici",2005,"March","mascara","south",108,366,258
"Cici",2004,"January","foundation","east",469,500,400
"Ashley",2004,"February","mascara","west",253,502,413
"Betsy",2004,"December","eye liner","south",265,476,363
"Cristina",2006,"August","lipstick","midwest",117,455,354
"Hallagan",2005,"June","lip gloss","south",155,331,258
"Hallagan",2006,"January","foundation","south",122,367,229
"Cici",2004,"January","mascara","east",99,486,414
"Ashley",2004,"November","eye liner","east",50,597,475
"Cristina",2004,"November","eye liner","south",185,361,259
"Betsy",2004,"February","eye liner","south",122,462,358
"Zaret",2004,"May","lip gloss","east",72,485,369
"Betsy",2005,"October","lipstick","west",27,491,379
"Jen",2004,"June","lip gloss","east",359,610,483
"Ashley",2005,"August","lip gloss","west",235,646,533
"Cici",2006,"December","mascara","west",193,493,330
"Jen",2006,"March","mascara","east",22,428,287
"Zaret",2006,"June","foundation","west",227,667,554
"Colleen",2005,"April","mascara","south",187,463,323
"Colleen",2004,"April","mascara","east",202,554,453
"Ashley",2004,"January","mascara","west",141,497,385
"Cristina",2004,"February","lip gloss","east",202,549,411
"Colleen",2005,"April","lip gloss","west",81,586,434
"Hallagan",2006,"August","mascara","midwest",167,463,371
"Ashley",2006,"June","eye liner","south",67,451,340
"Zaret",2006,"February","lip gloss","midwest",490,498,381
"Colleen",2006,"August","lip gloss","midwest",65,400,302
"Cici",2005,"June","mascara","east",114,453,386
"Cici",2005,"December","lip gloss","west",139,456,380
"Betsy",2004,"October","foundation","east",210,691,619
"Ashley",2006,"October","lip gloss","south",186,340,264
"Cristina",2004,"April","lip gloss","south",177,411,335
"Colleen",2005,"March","foundation","midwest",204,602,539
"Cici",2004,"May","lip gloss","south",177,464,343
"Betsy",2005,"July","foundation","south",51,502,365
"Ashley",2006,"September","foundation","east",332,530,434
"Cici",2004,"June","eye liner","south",129,451,397
"Hallagan",2006,"February","lip gloss","south",257,471,412
"Emilee",2005,"May","foundation","east",167,207,138
"Zaret",2006,"May","lipstick","east",146,201,62
"Jen",2005,"October","eye liner","midwest",124,484,434
"Jen",2004,"March","lip gloss","west",178,401,322
"Cici",2006,"December","mascara","west",107,586,464
"Jen",2006,"July","lip gloss","east",553,608,519
"Zaret",2004,"November","foundation","west",157,498,383
"Jen",2005,"March","mascara","west",261,582,517
"Betsy",2005,"November","eye liner","west",285,610,445
"Betsy",2004,"July","eye liner","south",501,687,561
"Zaret",2006,"July","eye liner","midwest",207,490,447
"Jen",2006,"February","eye liner","south",63,377,288
"Hallagan",2004,"June","foundation","south",217,447,367
"Betsy",2005,"November","lipstick","south",82,612,499
"Ashley",2004,"April","eye liner","midwest",106,526,458
"Ashley",2006,"March","mascara","west",282,583,528
"Jen",2006,"December","mascara","west",58,533,478
"Jen",2005,"October","lipstick","midwest",111,417,302
"Betsy",2005,"May","mascara","east",318,523,421
"Zaret",2006,"November","eye liner","east",81,522,396
"Zaret",2006,"May","foundation","west",256,627,446
"Colleen",2006,"June","mascara","midwest",202,581,506
"Colleen",2006,"October","lip gloss","east",233,589,487
"Cristina",2004,"May","mascara","south",335,614,547
"Ashley",2005,"November","eye liner","west",314,590,483
"Colleen",2004,"November","mascara","east",71,478,354
"Cristina",2004,"June","eye liner","east",169,433,287
"Jen",2005,"November","lipstick","west",364,547,443
"Zaret",2005,"November","mascara","west",194,410,337
"Cici",2006,"July","foundation","west",40,332,232
"Jen",2005,"March","lipstick","east",204,457,354
"Zaret",2004,"February","eye liner","east",83,616,491
"Jen",2006,"April","eye liner","west",117,419,309
"Betsy",2004,"November","foundation","south",447,697,595
"Hallagan",2005,"July","lipstick","south",41,391,311
"Betsy",2005,"December","foundation","south",112,493,347
"Jen",2004,"February","lipstick","east",21,470,372
"Colleen",2005,"November","lip gloss","south",280,561,439
"Cristina",2004,"September","mascara","south",195,325,222
"Betsy",2004,"April","mascara","south",123,409,295
"Zaret",2006,"March","eye liner","south",193,376,304
"Betsy",2004,"May","foundation","west",214,664,514
"Hallagan",2005,"November","foundation","midwest",392,430,349
"Cici",2006,"November","foundation","west",96,496,348
"Emilee",2005,"November","eye liner","west",375,510,412
"Emilee",2004,"March","eye liner","west",102,347,260
"Cristina",2004,"October","foundation","west",331,472,359
"Betsy",2004,"January","lip gloss","east",202,490,351
"Jen",2004,"January","foundation","south",69,410,273
"Zaret",2006,"June","mascara","east",305,568,470
"Hallagan",2005,"December","mascara","south",133,572,482
"Hallagan",2004,"August","mascara","west",259,660,526
"Cici",2004,"December","eye liner","south",184,413,326
"Jen",2005,"November","eye liner","west",201,620,512
"Hallagan",2004,"September","lip gloss","midwest",202,687,578
"Zaret",2006,"November","eye liner","east",252,641,492
"Cristina",2005,"November","lip gloss","east",117,550,396
"Jen",2004,"May","foundation","south",274,559,498
"Emilee",2006,"October","lipstick","west",86,418,337
"Hallagan",2004,"August","eye liner","east",47,411,291
"Colleen",2004,"April","lipstick","east",179,420,343
"Ashley",2005,"March","lip gloss","east",131,460,396
"Cristina",2005,"February","lipstick","midwest",174,410,297
"Jen",2005,"February","foundation","east",468,456,386
"Zaret",2004,"September","mascara","east",238,543,487
"Colleen",2006,"January","foundation","south",153,297,234
"Hallagan",2004,"April","eye liner","midwest",216,482,332
"Betsy",2006,"October","foundation","midwest",77,513,342
"Betsy",2006,"October","lipstick","east",173,426,349
"Betsy",2006,"January","eye liner","midwest",111,362,233
"Cici",2004,"November","eye liner","midwest",79,561,424
"Jen",2005,"February","lipstick","south",373,482,415
"Ashley",2006,"December","foundation","west",113,406,295
"Cristina",2004,"November","lipstick","east",221,507,326
"Zaret",2006,"December","mascara","east",320,531,423
"Hallagan",2005,"July","eye liner","south",300,551,444
"Ashley",2006,"November","mascara","south",20,381,294
"Jen",2006,"April","eye liner","east",90,410,303
"Cristina",2004,"September","foundation","midwest",206,621,531
"Betsy",2004,"October","eye liner","midwest",342,418,316
"Jen",2006,"November","eye liner","east",533,529,384
"Jen",2006,"November","foundation","midwest",110,353,239
"Zaret",2004,"April","mascara","west",77,342,262
"Ashley",2004,"May","eye liner","south",143,558,421
"Ashley",2004,"July","mascara","west",229,355,320
"Ashley",2004,"January","foundation","midwest",117,315,246
"Hallagan",2004,"November","lipstick","west",351,541,454
